index,anio,Mes,Dia,location_dist
0,2019,1,1,2.23
1,2019,1,2,2.39
2,2019,1,3,2.325
3,2019,1,4,2.37
4,2019,1,5,2.37
5,2019,1,6,2.29
6,2019,1,7,2.42
7,2019,1,8,2.44
8,2019,1,9,2.45
9,2019,1,10,2.44
10,2019,1,11,2.44
11,2019,1,12,2.39
12,2019,1,13,2.38
13,2019,1,14,2.44
14,2019,1,15,2.45
15,2019,1,16,2.44
16,2019,1,17,2.44
17,2019,1,18,2.44
18,2019,1,19,2.43
19,2019,1,20,2.33
20,2019,1,21,2.43
21,2019,1,22,2.39
22,2019,1,23,2.44
23,2019,1,24,2.43
24,2019,1,25,2.44
25,2019,1,26,2.39
26,2019,1,27,2.39
27,2019,1,28,2.39
28,2019,1,29,2.39
29,2019,1,30,2.44
30,2019,1,31,2.43
31,2019,2,1,2.38
32,2019,2,2,2.39
33,2019,2,3,2.39
34,2019,2,4,2.37
35,2019,2,5,2.43
36,2019,2,6,2.43
37,2019,2,7,2.44
38,2019,2,8,2.39
39,2019,2,9,2.37
40,2019,2,10,2.29
41,2019,2,11,2.45
42,2019,2,12,2.44
43,2019,2,13,2.39
44,2019,2,14,2.43
45,2019,2,15,2.44
46,2019,2,16,2.39
47,2019,2,17,2.29
48,2019,2,18,2.44
49,2019,2,19,2.44
50,2019,2,20,2.44
51,2019,2,21,2.39
52,2019,2,22,2.39
53,2019,2,23,2.37
54,2019,2,24,2.37
55,2019,2,25,2.41
56,2019,2,26,2.435
57,2019,2,27,2.45
58,2019,2,28,2.44
59,2019,3,1,2.39
60,2019,3,2,2.43
61,2019,3,3,2.39
62,2019,3,4,2.39
63,2019,3,5,2.39
64,2019,3,6,2.44
65,2019,3,7,2.44
66,2019,3,8,2.43
67,2019,3,9,2.44
68,2019,3,10,2.43
69,2019,3,11,2.45
70,2019,3,12,2.45
71,2019,3,13,2.44
72,2019,3,14,2.44
73,2019,3,15,2.39
74,2019,3,16,2.39
75,2019,3,17,2.33
76,2019,3,18,2.39
77,2019,3,19,2.44
78,2019,3,20,2.43
79,2019,3,21,2.44
80,2019,3,22,2.42
81,2019,3,23,2.37
82,2019,3,24,2.39
83,2019,3,25,2.44
84,2019,3,26,2.43
85,2019,3,27,2.45
86,2019,3,28,2.44
87,2019,3,29,2.43
88,2019,3,30,2.355
89,2019,3,31,2.37
90,2019,4,1,2.45
91,2019,4,2,2.45
92,2019,4,3,2.44
93,2019,4,4,2.45
94,2019,4,5,2.43
95,2019,4,6,2.39
96,2019,4,7,2.43
97,2019,4,8,2.45
98,2019,4,9,2.45
99,2019,4,10,2.43
100,2019,4,11,2.39
101,2019,4,12,2.42
102,2019,4,13,2.39
103,2019,4,14,2.37
104,2019,4,15,2.45
105,2019,4,16,2.49
106,2019,4,17,2.43
107,2019,4,18,2.45
108,2019,4,19,2.36
109,2019,4,20,2.39
110,2019,4,21,2.39
111,2019,4,22,2.45
112,2019,4,23,2.44
113,2019,4,24,2.43
114,2019,4,25,2.39
115,2019,4,26,2.44
116,2019,4,27,2.145
117,2019,4,28,2.37
118,2019,4,29,2.45
119,2019,4,30,2.44
120,2019,5,1,2.39
121,2019,5,2,2.43
122,2019,5,3,2.44
123,2019,5,4,2.39
124,2019,5,5,2.31
125,2019,5,6,2.43
126,2019,5,7,2.45
127,2019,5,8,2.49
128,2019,5,9,2.44
129,2019,5,10,2.44
130,2019,5,11,2.37
131,2019,5,12,2.39
132,2019,5,13,2.43
133,2019,5,14,2.45
134,2019,5,15,2.45
135,2019,5,16,2.39
136,2019,5,17,2.39
137,2019,5,18,2.5
138,2019,5,19,2.39
139,2019,5,20,2.44
140,2019,5,21,2.44
141,2019,5,22,2.43
142,2019,5,23,2.44
143,2019,5,24,2.43
144,2019,5,25,2.38
145,2019,5,26,2.39
146,2019,5,27,2.45
147,2019,5,28,2.44
148,2019,5,29,2.45
149,2019,5,30,2.43
150,2019,5,31,2.44
151,2019,6,1,2.43
152,2019,6,2,2.44
153,2019,6,3,2.46
154,2019,6,4,2.39
155,2019,6,5,2.39
156,2019,6,6,2.39
157,2019,6,7,2.44
158,2019,6,8,2.425
159,2019,6,9,2.43
160,2019,6,10,2.39
161,2019,6,11,2.43
162,2019,6,12,2.44
163,2019,6,13,2.44
164,2019,6,14,2.43
165,2019,6,15,2.39
166,2019,6,16,2.39
167,2019,6,17,2.44
168,2019,6,18,2.44
169,2019,6,19,2.44
170,2019,6,20,2.44
171,2019,6,21,2.39
172,2019,6,22,2.39
173,2019,6,23,2.39
174,2019,6,24,2.43
175,2019,6,25,2.44
176,2019,6,26,2.43
177,2019,6,27,2.44
178,2019,6,28,2.38
179,2019,6,29,2.23
180,2019,6,30,2.36
181,2019,7,1,2.43
182,2019,7,2,2.5
