,anio,Mes,Dia,location_dist
0,2020,12,2,1.41
1,2020,12,3,4.49
2,2020,12,4,
3,2020,12,5,
4,2020,12,7,0.61
5,2020,12,10,
6,2020,12,11,3.65
7,2020,12,12,3.03
8,2020,12,13,
9,2020,12,14,1.95
10,2020,12,15,1.24
11,2020,12,16,
12,2020,12,18,
13,2020,12,19,
14,2020,12,20,
15,2020,12,21,
16,2020,12,22,4.99
17,2020,12,24,2.31
18,2020,12,28,1.54
19,2020,12,29,
20,2020,12,30,1.625
21,2020,12,31,2.0549999999999997
22,2021,1,1,2.3
23,2021,1,2,2.16
24,2021,1,3,2.17
25,2021,1,4,2.18
26,2021,1,5,2.2
27,2021,1,6,2.24
28,2021,1,7,2.27
29,2021,1,8,2.24
30,2021,1,9,2.26
31,2021,1,10,2.27
32,2021,1,11,2.29
33,2021,1,12,2.24
34,2021,1,13,2.24
35,2021,1,14,2.23
36,2021,1,15,2.29
37,2021,1,16,2.24
38,2021,1,17,2.25
39,2021,1,18,2.28
40,2021,1,19,2.29
41,2021,1,20,2.25
42,2021,1,21,2.29
43,2021,1,22,2.26
44,2021,1,23,2.31
45,2021,1,24,2.28
46,2021,1,25,2.26
47,2021,1,26,2.22
48,2021,1,27,2.24
49,2021,1,28,2.27
50,2021,1,29,2.27
51,2021,1,30,2.28
52,2021,1,31,2.28
53,2021,2,1,2.22
54,2021,2,2,2.28
55,2021,2,3,2.29
56,2021,2,4,2.32
57,2021,2,5,2.28
58,2021,2,6,2.23
59,2021,2,7,2.22
60,2021,2,8,2.24
61,2021,2,9,2.25
62,2021,2,10,2.26
63,2021,2,11,2.3
64,2021,2,12,2.26
65,2021,2,13,2.27
66,2021,2,14,2.25
67,2021,2,15,2.25
68,2021,2,16,2.27
69,2021,2,17,2.31
70,2021,2,18,2.27
71,2021,2,19,2.26
72,2021,2,20,2.22
73,2021,2,21,2.27
74,2021,2,22,2.29
75,2021,2,23,2.28
76,2021,2,24,2.26
77,2021,2,25,2.3
78,2021,2,26,2.27
79,2021,2,27,2.24
80,2021,2,28,2.23
81,2021,3,1,2.45
82,2021,3,2,2.58
83,2021,3,3,2.49
84,2021,3,4,2.44
85,2021,3,5,2.44
86,2021,3,6,2.39
87,2021,3,7,2.29
88,2021,3,8,2.45
89,2021,3,9,2.45
90,2021,3,10,2.49
91,2021,3,11,2.51
92,2021,3,12,2.43
93,2021,3,13,2.46
