index,anio,Mes,Dia,location_dist
0,2019,1,1,3654.09
1,2019,1,2,18006.77
2,2019,1,3,20492.1
3,2019,1,4,20833.32
4,2019,1,5,10795.25
5,2019,1,6,9181.72
6,2019,1,7,27159.32
7,2019,1,8,29429.1
8,2019,1,9,30095.42
9,2019,1,10,31691.09
10,2019,1,11,29945.97
11,2019,1,12,12770.78
12,2019,1,13,9963.07
13,2019,1,14,30604.06
14,2019,1,15,31634.06
15,2019,1,16,32032.24
16,2019,1,17,31215.49
17,2019,1,18,29824.45
18,2019,1,19,12936.54
19,2019,1,20,10503.92
20,2019,1,21,30250.32
21,2019,1,22,31795.47
22,2019,1,23,30795.49
23,2019,1,24,28824.13
24,2019,1,25,29434.39
25,2019,1,26,13136.66
26,2019,1,27,10379.46
27,2019,1,28,30411.37
28,2019,1,29,31614.67
29,2019,1,30,31073.38
30,2019,1,31,31168.37
31,2019,2,1,29385.12
32,2019,2,2,11539.3
33,2019,2,3,8893.71
34,2019,2,4,9690.04
35,2019,2,5,31190.09
36,2019,2,6,31518.02
37,2019,2,7,31708.34
38,2019,2,8,30936.72
39,2019,2,9,13301.26
40,2019,2,10,10893.51
41,2019,2,11,31160.76
42,2019,2,12,32781.24
43,2019,2,13,28068.88
44,2019,2,14,32454.64
45,2019,2,15,31455.7
46,2019,2,16,13283.79
47,2019,2,17,10555.95
48,2019,2,18,32126.3
49,2019,2,19,34038.3
50,2019,2,20,33638.29
51,2019,2,21,32573.34
52,2019,2,22,31590.22
53,2019,2,23,14334.07
54,2019,2,24,11041.85
55,2019,2,25,29366.88
56,2019,2,26,34117.71
57,2019,2,27,33554.6
58,2019,2,28,33307.46
59,2019,3,1,31063.84
60,2019,3,2,13749.65
61,2019,3,3,11111.07
62,2019,3,4,27160.26
63,2019,3,5,30190.53
64,2019,3,6,31871.62
65,2019,3,7,32918.22
66,2019,3,8,32953.91
67,2019,3,9,14150.15
68,2019,3,10,11718.54
69,2019,3,11,33252.71
70,2019,3,12,32071.38
71,2019,3,13,33695.39
72,2019,3,14,33663.45
73,2019,3,15,31210.93
74,2019,3,16,12220.17
75,2019,3,17,8868.02
76,2019,3,18,10429.43
77,2019,3,19,30583.52
78,2019,3,20,33619.05
79,2019,3,21,32240.52
80,2019,3,22,31132.19
81,2019,3,23,14130.23
82,2019,3,24,11353.84
83,2019,3,25,31801.72
84,2019,3,26,33970.85
85,2019,3,27,33468.97
86,2019,3,28,33273.31
87,2019,3,29,31267.87
88,2019,3,30,14539.21
89,2019,3,31,10473.41
90,2019,4,1,33024.66
91,2019,4,2,34781.62
92,2019,4,3,34221.26
93,2019,4,4,32866.63
94,2019,4,5,32631.24
95,2019,4,6,13871.12
96,2019,4,7,11448.73
97,2019,4,8,31767.6
98,2019,4,9,33635.35
99,2019,4,10,33846.91
100,2019,4,11,33502.2
101,2019,4,12,31641.26
102,2019,4,13,13761.71
103,2019,4,14,10650.67
104,2019,4,15,28052.42
105,2019,4,16,28446.12
106,2019,4,17,26009.53
107,2019,4,18,11247.36
108,2019,4,19,8575.4
109,2019,4,20,8734.12
110,2019,4,21,9115.69
111,2019,4,22,27929.28
112,2019,4,23,31810.14
113,2019,4,24,31548.05
114,2019,4,25,31074.04
115,2019,4,26,23390.86
116,2019,4,27,42.61
117,2019,4,28,10171.76
118,2019,4,29,30823.34
