,anio,Mes,Dia,location_dist
0,2020,12,2,1.41
1,2020,12,3,4.49
2,2020,12,4,0.0
3,2020,12,5,0.0
4,2020,12,7,0.61
5,2020,12,10,0.0
6,2020,12,11,3.65
7,2020,12,12,3.03
8,2020,12,13,0.0
9,2020,12,14,1.95
10,2020,12,15,1.24
11,2020,12,16,0.0
12,2020,12,18,0.0
13,2020,12,19,0.0
14,2020,12,20,0.0
15,2020,12,21,0.0
16,2020,12,22,4.99
17,2020,12,24,2.31
18,2020,12,28,1.54
19,2020,12,29,0.0
20,2020,12,30,24.42
21,2020,12,31,43.29
22,2021,1,1,6102.61
23,2021,1,2,9858.33
24,2021,1,3,9406.95
25,2021,1,4,15852.5
26,2021,1,5,17273.38
27,2021,1,6,15865.35
28,2021,1,7,16816.15
29,2021,1,8,17550.92
30,2021,1,9,13527.74
31,2021,1,10,11450.92
32,2021,1,11,17353.51
33,2021,1,12,18837.7
34,2021,1,13,19015.72
35,2021,1,14,19549.96
36,2021,1,15,20664.02
37,2021,1,16,14097.03
38,2021,1,17,11279.24
39,2021,1,18,21641.09
40,2021,1,19,21813.36
41,2021,1,20,21673.83
42,2021,1,21,22188.22
43,2021,1,22,22782.95
44,2021,1,23,17716.66
45,2021,1,24,14616.85
46,2021,1,25,21756.94
47,2021,1,26,23375.48
48,2021,1,27,23234.92
49,2021,1,28,23723.36
50,2021,1,29,25064.12
51,2021,1,30,19008.79
52,2021,1,31,15172.43
53,2021,2,1,16002.44
54,2021,2,2,23504.75
55,2021,2,3,24436.83
56,2021,2,4,24264.78
57,2021,2,5,25195.21
58,2021,2,6,19469.77
59,2021,2,7,15167.26
60,2021,2,8,22676.35
61,2021,2,9,24390.79
62,2021,2,10,22087.65
63,2021,2,11,21710.27
64,2021,2,12,24262.4
65,2021,2,13,19490.7
66,2021,2,14,15784.39
67,2021,2,15,22323.42
68,2021,2,16,25727.11
69,2021,2,17,25936.52
70,2021,2,18,25950.2
71,2021,2,19,25486.12
72,2021,2,20,19322.63
73,2021,2,21,16022.93
74,2021,2,22,23924.88
75,2021,2,23,26225.88
76,2021,2,24,25995.25
77,2021,2,25,27186.57
78,2021,2,26,26863.48
79,2021,2,27,19423.04
80,2021,2,28,15888.01
81,2021,3,1,12698.83
82,2021,3,2,13598.01
83,2021,3,3,13724.7
84,2021,3,4,13174.56
85,2021,3,5,13581.74
86,2021,3,6,8545.1
