index,Dia,Mes,anio,precio_viaje
0,1,1,2019,26448.15
1,2,1,2019,94499.63
2,3,1,2019,101572.53
3,4,1,2019,118469.22
4,5,1,2019,56359.56
5,6,1,2019,71144.77
6,7,1,2019,144009.97
7,8,1,2019,149218.32
8,9,1,2019,151785.36
9,10,1,2019,161818.83
10,11,1,2019,172524.5
11,12,1,2019,66099.74
12,13,1,2019,81940.84
13,14,1,2019,165000.09
14,15,1,2019,253881.82
15,16,1,2019,167789.27
16,17,1,2019,164121.79
17,18,1,2019,160689.9
18,19,1,2019,71527.1
19,20,1,2019,84801.84
20,21,1,2019,150407.41
21,22,1,2019,167731.33
22,23,1,2019,169431.38
23,24,1,2019,164223.32
24,25,1,2019,194423.03
25,26,1,2019,113576.85
26,27,1,2019,78099.22
27,28,1,2019,167920.02
28,29,1,2019,188206.38
29,30,1,2019,167921.94
30,31,1,2019,174976.55
31,1,2,2019,221160.47
32,2,2,2019,67668.85
33,3,2,2019,69663.84
34,4,2,2019,53615.93
35,5,2,2019,683132.75
36,6,2,2019,219447.16
37,7,2,2019,176678.95
38,8,2,2019,288261.9
39,9,2,2019,199362.79
40,10,2,2019,91109.46
41,11,2,2019,168978.36
42,12,2,2019,176341.1
43,13,2,2019,143731.54
44,14,2,2019,202742.39
45,15,2,2019,190040.34
46,16,2,2019,70706.62
47,17,2,2019,97767.28
48,18,2,2019,169007.49
49,19,2,2019,184821.02
50,20,2,2019,176503.8
51,21,2,2019,178938.55
52,22,2,2019,211117.3
53,23,2,2019,109402.04
54,24,2,2019,84142.23
55,25,2,2019,146651.44
56,26,2,2019,184629.78
57,27,2,2019,179936.56
58,28,2,2019,180010.26
59,1,3,2019,440444.12
60,2,3,2019,73978.14
61,3,3,2019,125869.52
62,4,3,2019,137086.16
63,5,3,2019,154484.89
64,6,3,2019,183941.05
65,7,3,2019,173628.85
66,8,3,2019,258874.67
67,9,3,2019,83408.89
68,10,3,2019,94146.65
69,11,3,2019,177178.81
70,12,3,2019,194851.9
71,13,3,2019,186918.31
72,14,3,2019,201776.12
73,15,3,2019,177353.45
74,16,3,2019,61436.04
75,17,3,2019,100992.63
76,18,3,2019,55332.63
77,19,3,2019,209546.41
78,20,3,2019,195556.49
79,21,3,2019,189952.02
80,22,3,2019,181078.39
81,23,3,2019,74681.99
82,24,3,2019,90932.99
83,25,3,2019,171941.3
84,26,3,2019,191627.9
85,27,3,2019,183251.99
86,28,3,2019,182019.65
87,29,3,2019,189806.1
88,30,3,2019,109402.0
89,31,3,2019,83583.89
90,1,4,2019,163243.93
91,2,4,2019,186480.0
92,3,4,2019,175493.13
93,4,4,2019,205132.17
94,5,4,2019,191639.53
95,6,4,2019,74432.19
96,7,4,2019,79859.4
97,8,4,2019,171191.31
98,9,4,2019,179305.85
99,10,4,2019,183588.79
100,11,4,2019,177501.48
101,12,4,2019,177353.9
102,13,4,2019,74212.08
103,14,4,2019,86253.69
104,15,4,2019,142397.56
105,16,4,2019,147942.18
106,17,4,2019,137892.88999999998
107,18,4,2019,62124.67
108,19,4,2019,45680.82
109,20,4,2019,51093.45
110,21,4,2019,78331.91
111,22,4,2019,141164.01
112,23,4,2019,181194.8
113,24,4,2019,215368.53
114,25,4,2019,155909.54
115,26,4,2019,119512.58
116,27,4,2019,2757.42
117,28,4,2019,79139.49
118,29,4,2019,147385.07
119,30,4,2019,309968.45
120,1,5,2019,128857.94
121,2,5,2019,158344.18
122,3,5,2019,172540.05
123,4,5,2019,63607.06
124,5,5,2019,81941.14
125,6,5,2019,166117.63
126,7,5,2019,176064.63
127,8,5,2019,206263.01
128,9,5,2019,176738.72
129,10,5,2019,141339.01
130,11,5,2019,68739.88
131,12,5,2019,72524.01
132,13,5,2019,160837.4
133,14,5,2019,157947.76
134,15,5,2019,135708.34
135,16,5,2019,119892.57
136,17,5,2019,128533.84
137,18,5,2019,60907.73
138,19,5,2019,116700.16
139,20,5,2019,158841.41
140,21,5,2019,171558.16
141,22,5,2019,171955.84
142,23,5,2019,171412.6
143,24,5,2019,168419.05
144,25,5,2019,148249.12
145,26,5,2019,85153.42
