,Dia,Mes,anio,precio_viaje
0,1,1,2020,31757.61
1,1,2,2020,63459.59
2,1,3,2020,88732.16
3,1,4,2020,74236.32
4,1,5,2020,82681.02
5,1,6,2020,67987.6
6,1,7,2020,88552.02
7,1,8,2020,82935.41
8,1,9,2020,128288.13
9,1,10,2020,124989.58
10,1,11,2019,85668.0
11,1,11,2020,75321.77
12,1,12,2020,84522.88
13,2,1,2020,97256.73
14,2,2,2020,78125.05
15,2,3,2020,163021.98
16,2,4,2020,64452.64
17,2,5,2020,51529.92
18,2,6,2020,63632.39
19,2,7,2020,114439.64
20,2,8,2020,60552.49
21,2,9,2020,125648.73999999999
22,2,10,2020,193057.54
23,2,11,2020,76994.6
24,2,12,2020,106478.97
25,3,1,2020,116046.78
26,3,2,2020,49904.75
27,3,3,2020,174978.42
28,3,4,2020,124615.35
29,3,5,2020,62191.81
30,3,6,2020,104273.43
31,3,7,2020,91016.37
32,3,8,2020,91164.74
33,3,9,2020,104484.45
34,3,10,2020,163442.66999999998
35,3,11,2020,133523.33000000002
36,3,12,2020,89289.43
37,4,1,2020,69280.02
38,4,2,2020,167421.55
39,4,3,2020,177222.34
40,4,4,2020,56633.619999999995
41,4,5,2020,124027.9
42,4,6,2020,106517.65
43,4,7,2020,109802.39
44,4,8,2020,87248.76
45,4,9,2020,113870.89
46,4,10,2020,88200.5
47,4,11,2020,89802.38
48,4,12,2020,116921.96
49,5,1,2020,95197.32
50,5,2,2020,203091.49
51,5,3,2020,179964.68
52,5,4,2020,46644.85
53,5,5,2020,73573.47
54,5,6,2020,130630.34
55,5,7,2020,66578.38
56,5,8,2020,104351.77
57,5,9,2020,83682.61
58,5,10,2020,107446.86
59,5,11,2020,104909.33
60,5,12,2020,77685.06999999999
61,6,1,2020,132257.97
62,6,2,2020,182516.35
63,6,3,2020,180080.55
64,6,4,2020,76728.12
65,6,5,2020,77342.84
66,6,6,2020,105739.77
67,6,7,2020,81174.28
68,6,8,2020,103559.27
