,anio,Mes,viaje,name_retiro,name_arribo,viajes_iniciados
28345,2019,1,211-217,Hegel-Horacio,Hegel-Ibarbourou,390
114317,2019,2,18-1,Reforma - Río Rhin,Río Sena-Río Balsas,413
189065,2019,3,108-139,Nezahualcóyotl-Isabel la Católica,Mérida-Zacatecas,1
208730,2019,4,18-1,Reforma - Río Rhin,Río Sena-Río Balsas,387
303752,2019,5,18-1,Reforma - Río Rhin,Río Sena-Río Balsas,405
409235,2019,6,211-217,Hegel-Horacio,Hegel-Ibarbourou,334
503991,2019,7,211-217,Hegel-Horacio,Hegel-Ibarbourou,384
590007,2019,8,18-1,Reforma - Río Rhin,Río Sena-Río Balsas,416
694474,2019,9,211-217,Hegel-Horacio,Hegel-Ibarbourou,392
779221,2019,10,18-1,Reforma - Río Rhin,Río Sena-Río Balsas,400
911506,2019,11,33-33,Londres - Florencia,Londres - Florencia,372
1003158,2019,12,33-33,Londres - Florencia,Londres - Florencia,333
