,anio,Mes,dia,viajes
0,2019,1,1,3811
1,2019,1,2,17221
2,2019,1,3,19938
3,2019,1,4,20129
4,2019,1,5,10392
5,2019,1,6,9468
6,2019,1,7,25970
7,2019,1,8,27730
8,2019,1,9,28381
9,2019,1,10,29548
10,2019,1,11,27752
11,2019,1,12,12435
12,2019,1,13,10224
13,2019,1,14,28725
14,2019,1,15,29686
15,2019,1,16,30083
16,2019,1,17,29072
17,2019,1,18,28040
18,2019,1,19,12258
19,2019,1,20,11007
20,2019,1,21,28808
21,2019,1,22,30190
22,2019,1,23,29503
23,2019,1,24,26706
24,2019,1,25,27715
25,2019,1,26,12544
26,2019,1,27,10992
27,2019,1,28,29114
28,2019,1,29,30414
29,2019,1,30,29883
30,2019,1,31,29604
31,2019,2,1,27614
32,2019,2,2,11489
33,2019,2,3,9308
34,2019,2,4,9787
35,2019,2,5,29744
36,2019,2,6,30515
37,2019,2,7,30303
38,2019,2,8,29262
39,2019,2,9,12995
40,2019,2,10,11553
41,2019,2,11,30000
42,2019,2,12,30952
43,2019,2,13,27008
44,2019,2,14,30598
45,2019,2,15,29971
46,2019,2,16,12914
47,2019,2,17,11439
48,2019,2,18,30726
49,2019,2,19,32349
50,2019,2,20,31939
51,2019,2,21,31485
52,2019,2,22,30345
53,2019,2,23,14867
54,2019,2,24,11434
55,2019,2,25,28366
56,2019,2,26,32610
57,2019,2,27,32419
58,2019,2,28,32100
59,2019,3,1,29837
60,2019,3,2,13283
61,2019,3,3,11841
62,2019,3,4,26365
63,2019,3,5,28926
64,2019,3,6,31605
65,2019,3,7,31496
66,2019,3,8,31523
67,2019,3,9,13783
68,2019,3,10,12265
69,2019,3,11,31567
70,2019,3,12,31065
71,2019,3,13,32425
72,2019,3,14,32212
73,2019,3,15,29930
74,2019,3,16,11974
75,2019,3,17,9759
76,2019,3,18,10391
77,2019,3,19,30104
78,2019,3,20,32165
79,2019,3,21,31036
80,2019,3,22,29674
81,2019,3,23,13369
82,2019,3,24,11549
83,2019,3,25,30765
84,2019,3,26,32341
85,2019,3,27,32572
86,2019,3,28,31985
87,2019,3,29,30336
88,2019,3,30,14924
89,2019,3,31,11169
90,2019,4,1,31568
91,2019,4,2,33557
92,2019,4,3,32709
93,2019,4,4,31028
94,2019,4,5,30419
95,2019,4,6,13227
96,2019,4,7,11511
97,2019,4,8,29911
98,2019,4,9,32131
99,2019,4,10,32546
100,2019,4,11,32215
101,2019,4,12,30396
102,2019,4,13,13066
103,2019,4,14,11152
104,2019,4,15,26876
105,2019,4,16,27180
106,2019,4,17,24929
107,2019,4,18,10975
108,2019,4,19,8458
109,2019,4,20,8538
110,2019,4,21,9489
111,2019,4,22,26464
112,2019,4,23,30112
113,2019,4,24,30163
114,2019,4,25,29799
115,2019,4,26,21798
116,2019,4,28,10657
117,2019,4,29,28908
118,2019,4,30,30262
119,2019,5,1,12143
120,2019,5,2,29598
121,2019,5,3,28472
122,2019,5,4,12495
123,2019,5,5,11013
124,2019,5,6,30446
125,2019,5,7,32116
126,2019,5,8,31810
127,2019,5,9,30821
128,2019,5,10,23860
129,2019,5,11,12044
130,2019,5,12,10340
131,2019,5,13,29998
132,2019,5,14,30273
133,2019,5,15,26771
134,2019,5,16,23509
135,2019,5,17,24257
136,2019,5,18,12191
137,2019,5,19,10556
138,2019,5,20,29684
139,2019,5,21,29764
140,2019,5,22,31077
141,2019,5,23,30670
142,2019,5,24,28148
143,2019,5,25,12715
144,2019,5,26,11180
145,2019,5,27,30359
146,2019,5,28,32261
147,2019,5,29,31984
148,2019,5,30,31747
149,2019,5,31,28608
150,2019,6,1,11501
151,2019,6,2,11092
152,2019,6,3,31455
153,2019,6,4,30546
154,2019,6,5,26910
155,2019,6,6,23767
156,2019,6,7,24416
157,2019,6,8,13521
158,2019,6,9,11798
159,2019,6,10,30285
160,2019,6,11,32535
161,2019,6,12,32431
162,2019,6,13,27484
163,2019,6,14,28670
164,2019,6,15,13117
165,2019,6,16,10327
166,2019,6,17,30047
167,2019,6,18,29703
168,2019,6,19,31915
169,2019,6,20,29387
170,2019,6,21,28864
171,2019,6,22,13285
172,2019,6,23,9480
173,2019,6,24,23332
174,2019,6,25,29290
175,2019,6,26,29679
176,2019,6,27,29088
177,2019,6,28,28127
178,2019,6,29,13607
179,2019,6,30,10035
180,2019,7,1,27560
181,2019,7,2,27508
182,2019,7,3,30317
183,2019,7,4,27740
184,2019,7,5,28874
185,2019,7,6,11728
186,2019,7,7,11208
187,2019,7,8,22550
188,2019,7,9,30389
189,2019,7,10,26656
190,2019,7,11,27479
191,2019,7,12,25226
192,2019,7,13,10642
193,2019,7,14,10050
194,2019,7,15,27884
195,2019,7,16,29147
196,2019,7,17,29795
197,2019,7,18,23974
198,2019,7,19,25139
199,2019,7,20,11773
200,2019,7,21,10215
201,2019,7,22,27989
202,2019,7,23,26027
203,2019,7,24,28364
204,2019,7,25,18189
205,2019,7,26,19850
206,2019,7,27,11900
207,2019,7,28,9858
208,2019,7,29,27288
209,2019,7,30,29630
210,2019,7,31,28343
211,2019,8,1,29326
212,2019,8,2,27303
213,2019,8,3,12455
214,2019,8,4,10857
215,2019,8,5,24014
216,2019,8,6,28882
217,2019,8,7,26993
218,2019,8,8,30226
219,2019,8,9,26640
220,2019,8,10,12943
221,2019,8,11,10188
222,2019,8,12,27686
223,2019,8,13,30295
224,2019,8,14,30108
225,2019,8,15,30197
226,2019,8,16,29200
227,2019,8,17,12639
228,2019,8,18,10961
229,2019,8,19,29247
230,2019,8,20,31167
231,2019,8,21,30729
232,2019,8,22,27991
233,2019,8,23,27421
234,2019,8,24,12494
235,2019,8,25,11533
236,2019,8,26,29759
237,2019,8,27,31583
238,2019,8,28,32058
239,2019,8,29,30878
240,2019,8,30,29366
241,2019,8,31,13540
242,2019,9,1,11768
243,2019,9,2,30889
244,2019,9,3,31681
245,2019,9,4,31051
246,2019,9,5,30491
247,2019,9,6,29305
248,2019,9,7,12016
249,2019,9,8,11261
250,2019,9,9,29891
251,2019,9,10,26977
252,2019,9,11,29368
253,2019,9,12,30046
254,2019,9,13,26247
255,2019,9,14,10499
256,2019,9,15,8607
257,2019,9,16,6566
258,2019,9,17,26705
259,2019,9,18,26248
260,2019,9,19,25352
261,2019,9,20,25834
262,2019,9,21,13724
263,2019,9,22,11330
264,2019,9,23,30137
265,2019,9,24,25458
266,2019,9,25,25220
267,2019,9,26,30427
268,2019,9,27,29372
269,2019,9,28,12873
270,2019,9,29,7625
271,2019,9,30,26849
272,2019,10,1,27834
273,2019,10,2,29982
274,2019,10,3,29812
275,2019,10,4,28080
276,2019,10,5,13105
277,2019,10,6,11064
278,2019,10,7,30685
279,2019,10,8,30183
280,2019,10,9,28376
281,2019,10,10,30838
282,2019,10,11,26928
283,2019,10,12,13024
284,2019,10,13,11336
285,2019,10,14,29797
286,2019,10,15,32128
287,2019,10,16,28766
288,2019,10,17,18558
289,2019,10,18,28075
290,2019,10,19,13663
291,2019,10,20,11150
292,2019,10,21,27789
293,2019,10,22,29845
294,2019,10,23,30257
295,2019,10,24,25213
296,2019,10,25,25864
297,2019,10,26,10895
298,2019,10,27,8498
299,2019,10,28,26757
300,2019,10,29,30422
301,2019,10,30,24805
302,2019,10,31,27342
303,2019,11,1,23124
304,2019,11,2,9374
305,2019,11,3,9674
306,2019,11,4,28843
