,Mes,Dia,location_dist
0,1,1,3654.09
1,1,2,18006.77
2,1,3,20492.1
3,1,4,20833.32
4,1,5,10795.25
5,1,6,9181.72
6,1,7,27159.32
7,1,8,29429.1
8,1,9,30095.42
9,1,10,31691.09
10,1,11,29945.97
11,1,12,12770.78
12,1,13,9963.07
13,1,14,30604.06
14,1,15,31634.06
15,1,16,32032.24
16,1,17,31215.49
17,1,18,29824.45
18,1,19,12936.54
19,1,20,10503.92
20,1,21,30250.32
21,1,22,31795.47
22,1,23,30795.49
23,1,24,28824.13
24,1,25,29434.39
25,1,26,13136.66
26,1,27,10379.46
27,1,28,30411.37
28,1,29,31614.67
29,1,30,31073.38
30,1,31,31168.37
31,2,1,29385.12
32,2,2,11539.3
33,2,3,8893.71
34,2,4,9690.04
35,2,5,31190.09
36,2,6,31518.02
37,2,7,31708.34
38,2,8,30936.72
39,2,9,13301.26
40,2,10,10893.51
41,2,11,31160.76
42,2,12,32781.24
43,2,13,28068.88
44,2,14,32454.64
45,2,15,31455.7
46,2,16,13283.79
47,2,17,10555.95
48,2,18,32126.3
49,2,19,34038.3
50,2,20,33638.29
51,2,21,32573.34
52,2,22,31590.22
53,2,23,14334.07
54,2,24,11041.85
55,2,25,29366.88
56,2,26,34117.71
57,2,27,33554.6
58,2,28,33307.46
59,3,1,31063.84
60,3,2,13749.65
61,3,3,11111.07
62,3,4,27160.26
63,3,5,30190.53
64,3,6,31871.62
65,3,7,32918.22
66,3,8,32953.91
67,3,9,14150.15
68,3,10,11718.54
69,3,11,33252.71
70,3,12,32071.38
71,3,13,33695.39
72,3,14,33663.45
73,3,15,31210.93
74,3,16,12220.17
75,3,17,8868.02
76,3,18,10429.43
77,3,19,30583.52
78,3,20,33619.05
79,3,21,32240.52
80,3,22,31132.19
81,3,23,14130.23
82,3,24,11353.84
83,3,25,31801.72
84,3,26,33970.85
85,3,27,33468.97
86,3,28,33273.31
87,3,29,31267.87
88,3,30,14539.21
89,3,31,10473.41
90,4,1,33024.66
91,4,2,34781.62
92,4,3,34221.26
93,4,4,32866.63
94,4,5,32631.24
95,4,6,13871.12
96,4,7,11448.73
97,4,8,31767.6
98,4,9,33635.35
99,4,10,33846.91
100,4,11,33502.2
101,4,12,31641.26
102,4,13,13761.71
103,4,14,10650.67
104,4,15,28052.42
105,4,16,28446.12
106,4,17,26009.53
107,4,18,11247.36
108,4,19,8575.4
109,4,20,8734.12
110,4,21,9115.69
111,4,22,27929.28
112,4,23,31810.14
113,4,24,31548.05
114,4,25,31074.04
115,4,26,23390.86
116,4,27,42.61
117,4,28,10171.76
118,4,29,30823.34
119,4,30,32168.87
120,5,1,12418.79
121,5,2,31031.95
122,5,3,30568.85
123,5,4,13041.12
124,5,5,10747.43
125,5,6,32059.2
126,5,7,34067.21
127,5,8,34051.51
128,5,9,32371.02
129,5,10,25533.65
130,5,11,12639.91
131,5,12,9822.95
132,5,13,31716.71
133,5,14,32218.63
134,5,15,28489.3
135,5,16,24753.62
136,5,17,25620.27
137,5,18,12815.22
138,5,19,10710.71
139,5,20,31359.94
140,5,21,31873.08
141,5,22,32664.09
142,5,23,32403.57
143,5,24,29724.79
144,5,25,13301.69
145,5,26,10899.21
146,5,27,32052.95
147,5,28,34010.7
148,5,29,33628.51
149,5,30,32768.56
150,5,31,30645.53
151,6,1,12327.95
152,6,2,10839.02
153,6,3,32986.05
154,6,4,31731.51
155,6,5,28003.37
156,6,6,25517.03
157,6,7,26544.94
158,6,8,14103.01
159,6,9,11605.7
160,6,10,31795.78
161,6,11,33902.12
162,6,12,34386.24
163,6,13,29237.29
164,6,14,30776.06
165,6,15,13634.91
166,6,16,10169.05
167,6,17,31538.13
168,6,18,30576.19
169,6,19,33664.91
170,6,20,30991.59
171,6,21,30287.01
172,6,22,13888.58
173,6,23,8994.59
174,6,24,23977.54
175,6,25,30513.86
176,6,26,31374.9
177,6,27,31105.61
178,6,28,29479.19
179,6,29,13932.94
180,6,30,9830.36
181,7,1,28752.68
182,7,2,28987.98
183,7,3,32004.35
