,anio,Mes,dia,viajes
0,2019,Jan,1,3811
1,2019,Jan,2,17221
2,2019,Jan,3,19938
3,2019,Jan,4,20129
4,2019,Jan,5,10392
5,2019,Jan,6,9468
6,2019,Jan,7,25970
7,2019,Jan,8,27730
8,2019,Jan,9,28381
9,2019,Jan,10,29548
10,2019,Jan,11,27752
11,2019,Jan,12,12435
12,2019,Jan,13,10224
13,2019,Jan,14,28725
14,2019,Jan,15,29686
15,2019,Jan,16,30083
16,2019,Jan,17,29072
17,2019,Jan,18,28040
18,2019,Jan,19,12258
19,2019,Jan,20,11007
20,2019,Jan,21,28808
21,2019,Jan,22,30190
22,2019,Jan,23,29503
23,2019,Jan,24,26706
24,2019,Jan,25,27715
25,2019,Jan,26,12544
26,2019,Jan,27,10992
27,2019,Jan,28,29114
28,2019,Jan,29,30414
29,2019,Jan,30,29883
30,2019,Jan,31,29604
31,2019,Feb,1,27614
32,2019,Feb,2,11489
33,2019,Feb,3,9308
34,2019,Feb,4,9787
35,2019,Feb,5,29744
36,2019,Feb,6,30515
37,2019,Feb,7,30303
38,2019,Feb,8,29262
39,2019,Feb,9,12995
40,2019,Feb,10,11553
41,2019,Feb,11,30000
42,2019,Feb,12,30952
43,2019,Feb,13,27008
44,2019,Feb,14,30598
45,2019,Feb,15,29971
46,2019,Feb,16,12914
47,2019,Feb,17,11439
48,2019,Feb,18,30726
49,2019,Feb,19,32349
50,2019,Feb,20,31939
51,2019,Feb,21,31485
52,2019,Feb,22,30345
53,2019,Feb,23,14867
54,2019,Feb,24,11434
55,2019,Feb,25,28366
56,2019,Feb,26,32610
57,2019,Feb,27,32419
58,2019,Feb,28,32100
59,2019,Mar,1,29837
60,2019,Mar,2,13283
61,2019,Mar,3,11841
62,2019,Mar,4,26365
63,2019,Mar,5,28926
64,2019,Mar,6,31605
65,2019,Mar,7,31496
66,2019,Mar,8,31523
67,2019,Mar,9,13783
68,2019,Mar,10,12265
69,2019,Mar,11,31567
70,2019,Mar,12,31065
71,2019,Mar,13,32425
72,2019,Mar,14,32212
73,2019,Mar,15,29930
74,2019,Mar,16,11974
75,2019,Mar,17,9759
76,2019,Mar,18,10391
77,2019,Mar,19,30104
78,2019,Mar,20,32165
79,2019,Mar,21,31036
80,2019,Mar,22,29674
81,2019,Mar,23,13369
82,2019,Mar,24,11549
83,2019,Mar,25,30765
84,2019,Mar,26,32341
85,2019,Mar,27,32572
86,2019,Mar,28,31985
87,2019,Mar,29,30336
88,2019,Mar,30,14924
89,2019,Mar,31,11169
90,2019,Apr,1,31568
91,2019,Apr,2,33557
92,2019,Apr,3,32709
93,2019,Apr,4,31028
94,2019,Apr,5,30419
95,2019,Apr,6,13227
96,2019,Apr,7,11511
97,2019,Apr,8,29911
98,2019,Apr,9,32131
99,2019,Apr,10,32546
100,2019,Apr,11,32215
101,2019,Apr,12,30396
102,2019,Apr,13,13066
103,2019,Apr,14,11152
104,2019,Apr,15,26876
105,2019,Apr,16,27180
106,2019,Apr,17,24929
107,2019,Apr,18,10975
108,2019,Apr,19,8458
109,2019,Apr,20,8538
110,2019,Apr,21,9489
111,2019,Apr,22,26464
112,2019,Apr,23,30112
113,2019,Apr,24,30163
114,2019,Apr,25,29799
115,2019,Apr,26,21798
116,2019,Apr,28,10657
117,2019,Apr,29,28908
118,2019,Apr,30,30262
119,2019,May,1,12143
120,2019,May,2,29598
121,2019,May,3,28472
122,2019,May,4,12495
123,2019,May,5,11013
124,2019,May,6,30446
125,2019,May,7,32116
126,2019,May,8,31810
127,2019,May,9,30821
128,2019,May,10,23860
129,2019,May,11,12044
130,2019,May,12,10340
131,2019,May,13,29998
132,2019,May,14,30273
133,2019,May,15,26771
134,2019,May,16,23509
135,2019,May,17,24257
136,2019,May,18,12191
137,2019,May,19,10556
138,2019,May,20,29684
139,2019,May,21,29764
140,2019,May,22,31077
141,2019,May,23,30670
142,2019,May,24,28148
143,2019,May,25,12715
144,2019,May,26,11180
145,2019,May,27,30359
146,2019,May,28,32261
147,2019,May,29,31984
148,2019,May,30,31747
149,2019,May,31,28608
150,2019,Jun,1,11501
151,2019,Jun,2,11092
152,2019,Jun,3,31455
153,2019,Jun,4,30546
154,2019,Jun,5,26910
155,2019,Jun,6,23767
156,2019,Jun,7,24416
157,2019,Jun,8,13521
158,2019,Jun,9,11798
159,2019,Jun,10,30285
160,2019,Jun,11,32535
161,2019,Jun,12,32431
162,2019,Jun,13,27484
163,2019,Jun,14,28670
164,2019,Jun,15,13117
165,2019,Jun,16,10327
166,2019,Jun,17,30047
167,2019,Jun,18,29703
168,2019,Jun,19,31915
169,2019,Jun,20,29387
170,2019,Jun,21,28864
171,2019,Jun,22,13285
172,2019,Jun,23,9480
173,2019,Jun,24,23332
174,2019,Jun,25,29290
175,2019,Jun,26,29679
176,2019,Jun,27,29088
177,2019,Jun,28,28127
178,2019,Jun,29,13607
179,2019,Jun,30,10035
180,2019,Jul,1,27560
181,2019,Jul,2,27508
182,2019,Jul,3,30317
183,2019,Jul,4,27740
184,2019,Jul,5,28874
185,2019,Jul,6,11728
186,2019,Jul,7,11208
187,2019,Jul,8,22550
188,2019,Jul,9,30389
189,2019,Jul,10,26656
190,2019,Jul,11,27479
191,2019,Jul,12,25226
192,2019,Jul,13,10642
193,2019,Jul,14,10050
194,2019,Jul,15,27884
195,2019,Jul,16,29147
196,2019,Jul,17,29795
197,2019,Jul,18,23974
198,2019,Jul,19,25139
199,2019,Jul,20,11773
200,2019,Jul,21,10215
201,2019,Jul,22,27989
202,2019,Jul,23,26027
203,2019,Jul,24,28364
204,2019,Jul,25,18189
205,2019,Jul,26,19850
206,2019,Jul,27,11900
207,2019,Jul,28,9858
208,2019,Jul,29,27288
209,2019,Jul,30,29630
210,2019,Jul,31,28343
211,2019,Aug,1,29326
212,2019,Aug,2,27303
213,2019,Aug,3,12455
214,2019,Aug,4,10857
215,2019,Aug,5,24014
216,2019,Aug,6,28882
217,2019,Aug,7,26993
218,2019,Aug,8,30226
219,2019,Aug,9,26640
220,2019,Aug,10,12943
221,2019,Aug,11,10188
222,2019,Aug,12,27686
223,2019,Aug,13,30295
224,2019,Aug,14,30108
225,2019,Aug,15,30197
226,2019,Aug,16,29200
227,2019,Aug,17,12639
228,2019,Aug,18,10961
229,2019,Aug,19,29247
230,2019,Aug,20,31167
231,2019,Aug,21,30729
232,2019,Aug,22,27991
233,2019,Aug,23,27421
234,2019,Aug,24,12494
235,2019,Aug,25,11533
236,2019,Aug,26,29759
237,2019,Aug,27,31583
238,2019,Aug,28,32058
239,2019,Aug,29,30878
240,2019,Aug,30,29366
241,2019,Aug,31,13540
242,2019,Sep,1,11768
243,2019,Sep,2,30889
244,2019,Sep,3,31681
245,2019,Sep,4,31051
246,2019,Sep,5,30491
247,2019,Sep,6,29305
248,2019,Sep,7,12016
249,2019,Sep,8,11261
250,2019,Sep,9,29891
251,2019,Sep,10,26977
252,2019,Sep,11,29368
253,2019,Sep,12,30046
254,2019,Sep,13,26247
255,2019,Sep,14,10499
256,2019,Sep,15,8607
257,2019,Sep,16,6566
258,2019,Sep,17,26705
259,2019,Sep,18,26248
260,2019,Sep,19,25352
261,2019,Sep,20,25834
262,2019,Sep,21,13724
263,2019,Sep,22,11330
264,2019,Sep,23,30137
265,2019,Sep,24,25458
266,2019,Sep,25,25220
267,2019,Sep,26,30427
268,2019,Sep,27,29372
269,2019,Sep,28,12873
270,2019,Sep,29,7625
271,2019,Sep,30,26849
272,2019,Oct,1,27834
273,2019,Oct,2,29982
274,2019,Oct,3,29812
275,2019,Oct,4,28080
276,2019,Oct,5,13105
277,2019,Oct,6,11064
278,2019,Oct,7,30685
279,2019,Oct,8,30183
280,2019,Oct,9,28376
281,2019,Oct,10,30838
282,2019,Oct,11,26928
283,2019,Oct,12,13024
284,2019,Oct,13,11336
285,2019,Oct,14,29797
286,2019,Oct,15,32128
287,2019,Oct,16,28766
288,2019,Oct,17,18558
289,2019,Oct,18,28075
290,2019,Oct,19,13663
291,2019,Oct,20,11150
292,2019,Oct,21,27789
293,2019,Oct,22,29845
294,2019,Oct,23,30257
295,2019,Oct,24,25213
296,2019,Oct,25,25864
297,2019,Oct,26,10895
298,2019,Oct,27,8498
299,2019,Oct,28,26757
300,2019,Oct,29,30422
301,2019,Oct,30,24805
302,2019,Oct,31,27342
303,2019,Nov,1,23124
304,2019,Nov,2,9374
305,2019,Nov,3,9674
306,2019,Nov,4,28843
307,2019,Nov,5,26697
308,2019,Nov,6,30551
309,2019,Nov,7,30310
310,2019,Nov,8,29223
311,2019,Nov,9,16797
312,2019,Nov,10,11146
313,2019,Nov,11,28337
314,2019,Nov,12,30547
315,2019,Nov,13,29826
316,2019,Nov,14,29439
317,2019,Nov,15,27687
318,2019,Nov,16,11867
319,2019,Nov,17,8872
320,2019,Nov,18,9853
321,2019,Nov,19,28783
322,2019,Nov,20,30616
323,2019,Nov,21,29940
324,2019,Nov,22,28545
325,2019,Nov,23,11301
326,2019,Nov,24,10844
327,2019,Nov,25,29208
328,2019,Nov,26,30494
329,2019,Nov,27,30835
330,2019,Nov,28,29847
331,2019,Nov,29,28686
332,2019,Nov,30,12853
333,2019,Dec,1,11018
334,2019,Dec,2,28270
335,2019,Dec,3,30119
336,2019,Dec,4,29770
337,2019,Dec,5,29557
338,2019,Dec,6,27652
339,2019,Dec,7,12326
340,2019,Dec,8,9732
341,2019,Dec,9,28326
342,2019,Dec,10,30452
343,2019,Dec,11,28850
344,2019,Dec,12,24567
345,2019,Dec,13,26353
346,2019,Dec,14,12283
347,2019,Dec,15,9857
348,2019,Dec,16,26808
349,2019,Dec,17,27369
350,2019,Dec,18,24778
351,2019,Dec,19,24604
352,2019,Dec,20,23033
353,2019,Dec,21,10572
354,2019,Dec,22,6844
355,2019,Dec,23,17377
356,2019,Dec,24,10540
357,2019,Dec,25,3474
358,2019,Dec,26,14898
359,2019,Dec,27,15190
360,2019,Dec,28,7845
361,2019,Dec,29,7249
362,2019,Dec,30,14652
363,2019,Dec,31,9781
